"cd_geouf","cd_geocmu","regiao","uf","estado","municipio","bioma","arcodesmat","matopiba","mun_ha","pol_ha","pct_areapo","area_ha","classe","year"
"17","1713809","NORTE","TO","TOCANTINS","PALMEIRAS DO TOCANTINS","CERRADO","1","1","74789.80000000000","74789.82109760000","1.00000028209","157.93496063","9","2018"
"21","2107001","NORDESTE","MA","MARANHÃO","MONTES ALTOS","CERRADO","1","1","148833.60000000001","148833.64946200000","1.00000033233","364.82047704","33","2018"
"17","1714302","NORTE","TO","TOCANTINS","NAZARÉ","CERRADO","1","1","39590.70000000000","39590.68633720000","0.99999965490","63.36030464","25","2018"
"17","1715002","NORTE","TO","TOCANTINS","NOVA ROSALÂNDIA","CERRADO","1","1","51630.80000000000","2996.41817690000","0.05803547838","479.70194756","3","2018"
"17","1715002","NORTE","TO","TOCANTINS","NOVA ROSALÂNDIA","CERRADO","1","1","51630.80000000000","2996.41817690000","0.05803547838","957.56964640","4","2018"
"17","1715002","NORTE","TO","TOCANTINS","NOVA ROSALÂNDIA","CERRADO","1","1","51630.80000000000","2996.41817690000","0.05803547838","240.75901416","12","2018"
"17","1715002","NORTE","TO","TOCANTINS","NOVA ROSALÂNDIA","CERRADO","1","1","51630.80000000000","2996.41817690000","0.05803547838","1303.10792683","15","2018"
"17","1715002","NORTE","TO","TOCANTINS","NOVA ROSALÂNDIA","CERRADO","1","1","51630.80000000000","2996.41817690000","0.05803547838","5.18855947","19","2018"
"17","1714880","NORTE","TO","TOCANTINS","NOVA OLINDA","CERRADO","1","1","156618.39999999999","108540.03679899999","0.69302225536","10031.73956193","13","2018"
"17","1718451","NORTE","TO","TOCANTINS","PUGMIL","CERRADO","1","1","40183.40000000000","40008.90356710000","0.99565749954","321.91813589","25","2018"
"17","1721000","NORTE","TO","TOCANTINS","PALMAS","CERRADO","1","1","221894.20000000001","83.44403928800","0.00037605327","83.14836056","33","2018"
"17","1714880","NORTE","TO","TOCANTINS","NOVA OLINDA","CERRADO","1","1","156618.39999999999","108540.03679899999","0.69302225536","18.07544060","33","2018"
"17","1714880","NORTE","TO","TOCANTINS","NOVA OLINDA","CERRADO","1","1","156618.39999999999","108540.03679899999","0.69302225536","11801.11676538","3","2018"
"17","1714880","NORTE","TO","TOCANTINS","NOVA OLINDA","CERRADO","1","1","156618.39999999999","108540.03679899999","0.69302225536","22316.66048321","4","2018"
"17","1714880","NORTE","TO","TOCANTINS","NOVA OLINDA","CERRADO","1","1","156618.39999999999","108540.03679899999","0.69302225536","39.61812757","9","2018"
